Title,Rating,Genre,Description,Casts,Country
Please Don't Spoil Me Season 3 (2022),Three Stars,"Drama , Comedy , Drama , Historical , Romance , Chinese | Episodes 24",Third Season of Please Don't Spoil Me. Continuation from season one and two.,"{'Zhao Si\nSupport Role', 'Zhao Yi Yang\nSupport Role', 'Jin Xian Zheng\nMain Role', 'Jiang Lin Jing\nSupport Role', 'Zhang Miao Yi\nMain Role', 'Li Hong Yu\nUnknown Role'}",Chinese
Two Conjectures About Marriage (2022),Not Rated,"Drama , Business , Drama , Life , Romance , Chinese | Episodes 36","When career woman Shen Ming Bao meets IT guy Yang Zheng, the two quickly get married. Due to their busy lives, they were only able to meet twice a week. When her company suffer a loss in customers, she puts in extra effort at work, which eventually causes a miscarriage. When Yang Zheng knew of it, he made her quit her job, but this causes further misunderstandings between the couple. Shen's best friend, Xue Ke Xin, a wealthy and beautiful woman, gets involved in a lightning marriage with Chen Tong Gang, an actor eight years her junior. However, they eventually divorced as their principles did not match. Shen Ming Bao gets pregnant again, but Yang Zheng's career also faces a drastic change. At the same time, Xue Ke Xin's good friend, Zhang Song Wen, returns to the country to seek business opportunities and finds Yang Zheng to become his business partner. Shen Ming Bao learns that Zhang Song Wen's company is a funding black hole. She thinks up a plan to vanquish Yang Zheng's responsibility and prevent the product from being listed on the market. The four of them has also matured through hardships and crisis. Can they restore their marriage? ","{'', 'Peng Guan Ying\nMain Role', 'Zhang He\nSupport Role', 'Hu Jian\nSupport Role', 'Zhao Zhi Wei\nMain Role', 'Huang Cancan\nSupport Role', 'Ma Su\nSupport Role', 'Li Ying\nSupport Role', 'Xiao Xu\nSupport Role', 'Shi Jing Yi\nSupport Role', 'Mao Fang Yuan\nSupport Role', 'Yang Zi Shan', 'Lin Peng\nMain Role', 'Meng Yu Li\nSupport Role', 'Yue Hong\nSupport Role', 'Zhang Yao', 'Liang Tian\nSupport Role', 'Lu Yi Ding\nSupport Role', 'Qin Yue', 'Lin Feng Song\nSupport Role', 'Cui Ying Er\nSupport Role', 'Zhang Yu Fei\nSupport Role'}",Chinese
Pride And Price (2021),Three Stars,"Drama , Drama , Chinese | Episodes 36","""Pride And Price"" is an urban workplaces, starring Alyssa Chia and Anita Yuen. The play tells a motivational story of women in the workplace who have gone through a variety of workplace rules and job tests to defeat their competitors and set off their dreams.","{'', 'Zhang Chao\nSupport Role', 'Support Role', 'Song Zu Er\nSupport Role', 'Candy Song\nMain Role', 'Wu Bai\nUnknown Role', 'Wang Long Zheng\nSupport Role', 'Lu Xiao Lin\nSupport Role', 'Lin Yong Jian\nSupport Role', 'Chen Michael\nMain Role', 'Anita Yuen\nMain Role', 'Wang David\nSupport Role', 'Jin Chen\nSupport Role', 'Wang Zhen\nSupport Role', 'Wang Zi Xuan\nSupport Role', 'Li Cheng Ru\nSupport Role'}",Chinese
Dine With Love (2022),Three & Half Stars,"Drama , Drama , Food , Romance , Chinese | Episodes 16","The series tells the story of Yu Hao, who doesn't know how to cook and even doesn't have a kitchen. For the food platform he created, he sponsored a food reality show and appeared on his own. But efficiency is the priority, he doesn't want to waste time learning to cook for this, so he offends the show crew by shooting with a stand-in. Su Ke Lan was appointed to become the director of public relations when he was in danger, took over the work of public relations to deal with the crisis, and became Yu Hao's culinary teacher. She took him into the kitchen and slowly began to enter his heart.","{'', 'Chen Lu Zhen\nSupport Role', 'Ren Jie\nSupport Role', 'Lu Lu\nSupport Role', 'Hu Hui\nUnknown Role', 'Yang Xue Er\nSupport Role', 'He Lei\nSupport Role', 'Zeng Xi Tang\nSupport Role', 'Wang Pei Han\nSupport Role', 'Gao Han Yu\nMain Role', 'Bai Xin Yi\nSupport Role', 'Support Role', 'Jade Cheng\nMain Role'}",Chinese
Country love 14 (2021),Three & Half Stars,"Drama , Drama , Chinese | Episodes 10+","Country love 14 , Country love 14 Chinese Drama, Watch 鄉村愛情14 eng sub, Country love 14 online ep 1, ep 2, ep 3, ep 4, watch 鄉村愛情14 ep 5, ep 6, ep 7, ep 8, ep 9, ep 10, Country love 14 dub drama Cantonese, watch Country love 14 ep 11, ep 12, ep 13, ep 14, ep 15, Country love 14 drama ep 16, ep 17, ep 18, ep 19, ep 20,Ep 21,22,23,24,25,26,27,28,29,30 ENGSUB Country love 14 english subtitle, Country love 14 chinese subtitle, Country love 14 kdrama, Watch 鄉村愛情14 free drama online - Country love 14 kissasian, Country love 14 myasiantv, Country love 14 dramacool, Country love 14 dramanice, Country love 14 newasiantv, Country love 14 drama3s .",not available,Chinese
The Old Dreams (2022),Four Stars,"Drama , Drama , Life , Romance , Youth , Chinese | Episodes 36","About a group of friends who were born in the early 90s, and later focuses on their career in the automobile industry. When Chen Yi duo was nine, a young boy named Bi Lai fu suddenly appeared in her home for a short stay. The two initially did get along, competing on everything at home and in school. At the same time, Lai Fu befriends a group of loyal friends, but their playful and chaotic nature worries the adults. With the upcoming high school examinations, the youths each pursue their onward journey. Lai Fu and Yi Duo also faces the problem of work, love and life. As the year 1998 arrives, the automobile industry also undergoes a rapid development and change. The old bicycles are no longer in trend, and continue to see a decline in business and sales. In order to preserve their generation's memory, Lai Fu decided to rent an assembly workshop, and think of new ways to innovate and revive the product. He gathers again with his former friends, working together on the business idea. They use new ideas and concepts, making the ""old"" bicycles ""young"" (in trend) again. ","{'', 'Support Role', 'Hou Yan Song\nSupport Role', 'Ge Zheng\nSupport Role', 'Wang Hai Yan\nSupport Role', 'Ma Da Bao\nGuest Role', 'Liu Ran\nUnknown Role', 'Liu Yu Feng\nSupport Role', 'Gao Zhi Ting\nMain Role', 'Li Li\nSupport Role', 'He Peng\nSupport Role', 'Zhang Tao\nSupport Role', 'Bao Da Zhi\nSupport Role', 'Zhang Rui\nUnknown Role', 'Li Hong Tao\nSupport Role', 'Lin Yun\nMain Role', 'Xiong Yue Xi\nSupport Role', 'Li Ruo Ning\nSupport Role'}",Chinese
A Lifelong Journey (2022),One & Half Star,"Drama , Drama , Family , Life , Chinese | Episodes 58","A story that details the the lives of ordinary civilians amidst the magnanimous changes in Chinese society over the years. At the end of the 1970s, the Zhou family lived in a provincial city in the north. The father, Zhu Zhi Gang, has just participated in the Third Front Movement in Xi Nan. The eldest son, Zhou Bing Yi, responds to national call to become part of the first batch of ""educated"" youths sent to live and work in the rural areas. The eldest daughter, Zhou Rong, follows her poet husband to the countryside of Guizhou. The youngest son, Zhou Bing Kun, is the only one left at home with their mother. In the span of 50 years, the Zhou family is swept with the tides of change in China. Zhou Bing Yi enters politics after graduating from university and experiences ups and downs in his career during the drastic reforms. Zhou Rong stays on to teach after receiving her Ph.D. She has a difficult love life and ends up living in France for twelve years. Zhou Bing Kun and Zheng Juan, a beautiful yet misfortunate woman, develop romantic feelings for each other and continue to mature through their own efforts. Relatives and friends in the neighbourhood learn to move forward together. In fulfilling their own missions in life, the Zhou family represents an epic tale about the contemporary Chinese people. ","{'Yu Yue\nSupport Role', '', 'Feng Lei\nSupport Role', 'Zhang Rui Han\nSupport Role', 'Sui Jun Bo\nSupport Role', 'Xu Song Zi\nSupport Role', 'Li Guang Fu\nSupport Role', 'Xu Bai Hui\nSupport Role', 'Wei Qing\nSupport Role', 'Shen Xiao Hai\nSupport Role'}",Chinese
To Our Dreamland of Ice (2022),Three & Half Stars,"Drama , Drama , Family , Romance , Sports , Chinese | Episodes 34","Story 1 ""Ice and Snow Love"" Set during the year of 1980, the story follows Yan Zhen Hua, a young ice skater who has been selected to enter a sports school in Harbin, China with his friend, Tang Jian. Both of them, who grew up in the 'snow' have been fighting hard on their dreams with hope since they were children. In the school, they both met Li Bing He, a girl from the city who has a bright and smart personality. The three of them eventually became close friends who share one thing in common, a dream on the ice. Because of an accident, Tang Jian quit speed skating and his dreams were shattered. Then, Yan Zhen Hua became skating partner with Li Bing He. The two established empathy as they go through many competitions together and eventually, falls in love with each other. However, after various twists and turns, both of them decided to broke up. Yan Zhen Hua turned into a short track speed skater to continue their dreams as the three eventually parted ways. Story 2 ""Winter Olympics Dream"" Set during the year of 2019, when China is making adequate preparations for the 2022 Beijing Winter Olympics. The story follows Yan Yang, the son of Yan Zhen Hua, who was selected from the local club for the short track speed skating national Olympic training camp. In the camp, he met Jin Ying, Tang Han and other outstanding players, as well as coach Chen Jin and team doctor Li Nian Xue. He has worked hard from the sparring of female team skaters to full-time skater. His understanding of sportsmanship and Olympic spirit has gradually deepened in his heart. After finding out his parent's story, he has become more determined in his dreams. The journey of the previous generation of Winter Olympics was full of regrets but the skaters of the new era took over the baton and continued the dreams. ","{'', 'Luo Wei\nSupport Role', 'Lu Xing\nUnknown Role', 'Liang Zhen Hua', 'Jiang Rulu\nGuest Role', 'Yi Li Yuan\nMain Role', 'Liu Tian Zuo\nGuest Role', 'Lin Peng\nSupport Role', 'Wan Zi Lin\nSupport Role', 'Zhou De Hua\nSupport Role', 'Chen Ruo Xuan\nMain Role', 'Wei Li Si\nSupport Role', 'Liang Ai Qi\nSupport Role', 'Liang Jie\nMain Role', 'Liu Xian Da\nSupport Role', 'Peng Xiao Ran\nMain Role', 'Ou Hao\nMain Role', 'Zhao Jing Yi\nSupport Role', 'Liu Jin Shan\nSupport Role', 'Zhang Jun Ming\nSupport Role'}",Chinese
Vacation of Love 2 (2022),Two Stars,"Drama , Comedy , Drama , Romance , Chinese | Episodes 40","It is yet another winter. Cheng Man, a strong woman in the venture capital world, was in Shanghai and was about to take her daughter to Sanya for the New Year. However, she flew back to her hometown in Dongbei after a series of incidents. Kong Ling Qi, a founder of a corporate financing company, also followed Cheng Man to Dongbei to resolve some issues. After some twists and turns, the two finally resolve their problems. Cheng Man's frustrated sister, Cheng Shu's, homestay in her hometown in Dongbei was facing bankruptcy when a large booking arrived. That booking turned out to be from her ex-boyfriend, Wei Qi. Liao Ran, who dreams of being a Michelin star chef, was roped in by Cheng Man to help with the large booking. The three of them go through emotional twists and turns. Their niece, Cheng Miao, who is about to graduate, went home for Chinese New Year and decided to go skiing alone to vent her emotions. However, she strayed into the realm of drone racing, and accidentally met Ma Bo Yuan, a drone expert. Ma Bo Yuan discovered that this girl had extraordinary talent and special feelings soon develop between the too. With its unique warmth, this human-like northern realm (i.e. Dongbei) dissolves the ice in people's hearts, and will those who visit for their own reasons find their own life goals? ","{'Pei Jia Xin\nSupport Role', '', 'Neno Ren\nSupport Role', 'Yao Yi Tian\nSupport Role', 'Zhou Lu La\nSupport Role', 'Ni Ping\nSupport Role', 'Mu Li Yan\nSupport Role', 'Song Jia Teng\nSupport Role', 'Wei Zi Xin\nSupport Role', 'Zhang Jenny', 'Na Zhi Dong\nSupport Role', 'Zhang Yi Xin\nSupport Role', 'Cheng Xiao', 'Zhang Juan Yi\nSupport Role', 'Liu Tao', 'Wang Rong\nSupport Role', 'Tyler Follmer\nSupport Role', 'Zhao Cheng Shun\nSupport Role', 'Wang Gang\nSupport Role', 'Huang Cheng Cheng\nSupport Role', 'Zhang Zhang\nSupport Role', 'Zhang Tian Yang\nSupport Role'}",Chinese
Banner Hero (2007),Not Rated,"Drama , Action , Drama , Romance , Wuxia , Chinese | Episodes 40","Tale of a generation long feud between the Da Qi Men Pai and the Wu Fu Men Pai. The bloodshed has been bouncing back and forth for so long that not even the chiefs know what the grudge is. In a new generation of the Da Qi Sect, two heroes Tie Zhong Tang and Yun Cheng are born. The tale follows the adventures of these two brave fighters as they slowly learn more about the different parties involved in the feud and try to end the bloodshed.","{'', 'Cui Lin\nMain Role', 'Gu Long', 'Zhang Kai Li\nSupport Role', 'Yang Sheng\nSupport Role', 'Fatima Yaqi\nSupport Role', 'Tian Min\nSupport Role', 'Mok Monica\nSupport Role', 'Chu Ja Hyun', 'Chu Chu\nSupport Role', 'Wang Bo Wen\nSupport Role', 'Deric Wan\nSupport Role', 'Kou Zhen Hai\nSupport Role', 'Xiu Qing\nSupport Role', 'Du Chun\nMain Role', 'Zheng Shuang\nSupport Role', 'Yue Yao Li\nSupport Role', 'Yan Hong Shi\nSupport Role', 'Lin Feng', 'Liu Teng Yuan\nSupport Role', 'Song Xiao Ying\nSupport Role', 'Marco Li\nSupport Role'}",Chinese
The Autumn Ballad (2022),Three Stars,"Drama , Drama , Fantasy , Historical , Romance , Wuxia , Chinese | Episodes 34","The story of a witty young girl named Qiu Yan and a cold-faced duke named Liang Yi, who goes from battling each other with wits and boldness to understanding and accompanying each other. Qiu Yan is the least favored eldest daughter of the Qiu Manor. She managed to reap happiness step by step relying on her own efforts and wisdom. ","{'', 'Support Role', 'Han Rui\nSupport Role', 'Zhang Yi Cong\nSupport Role', 'Kabby Hui\nSupport Role', 'Deng Ying\nSupport Role', 'Tsui Jeremy\nMain Role', 'Qiao Xin\nMain Role', 'Ma Ya Shu\nSupport Role', 'Jane Zhao\nUnknown Role', 'Zhan Yu\nSupport Role', 'Gao Sheng\nSupport Role', 'Ding Ying Zhou\nUnknown Role', 'Wang Qian\nSupport Role', 'Ha Ni\nSupport Role', 'Liu Wayne\nSupport Role'}",Chinese
Assistant of Superstar (2022),Two & Half Stars,"Drama , Comedy , Drama , Romance , Chinese | Episodes 24","Wang Yu Xi may be an incredibly handsome and wildly popular superstar but beneath that shining exterior lies a deeply buried secret: he has never really received a quality education. As such, he spends his days living uncomfortably close to the borders of illiteracy. While Yu Xi is usually able to hide his shortcomings, there are times when he fails miserably; the most recent being his botched interview for an important role in an upcoming project. With his need for a tutor now glaringly obvious, his company has no choice but to find him one, but the search is proving to be more difficult than anyone originally imagined. Working as a tutor at a local agency, Wei Chi Yao has always dreamed of becoming a teacher but the challenges of turning that dream into reality have been difficult to overcome. When asked to take on the role of a superstar’s teacher, Chi Yao can’t seem to find a way to refuse. But having a severe phobia of crowds makes working with Yu Xi incredibly difficult. ","{'Xu He Ni\nSupport Role', 'Xiao Ai\nSupport Role', 'Kong Xiao Ming\nSupport Role', 'Xie Xing Yang\nSupport Role', 'Chen Peng Wan Li\nSupport Role', 'Hanna\nMain Role', 'Wang Yi Xuan\nSupport Role', 'Kele Sun\nMain Role', 'Han Dan\nSupport Role'}",Chinese
