Title,Rating,Genre,Description,Casts,Country
The Righteous Fists (2022),Three Stars,"Drama , Action , Comedy , Crime , Drama , Martial Arts , HK | Episodes 30","Set in Thailand in the 1960s, Chinatown centers around the trials and tribulations of the local Chinese people living in Bangkok.","{'', 'Tong Natalie', 'Honey Ho\nUnknown', 'Stephanie Lee\nUnknown', 'Keith Mok\nUnknown', 'Lam Kirby\nSupport Role', 'Nguyen Chloe\nSupport Role', 'Wong Grace\nMain Role', 'Tiffany Lau', 'Yiu Elaine\nMain Role', 'Auston Lam\nSupport Role', 'Chan Ruco\nMain Role', 'Ng Philip\nMain Role', 'Ng Carlo\nSupport Role', 'Maggie Wong\nSupport Role', 'Chak William\nSupport Role', 'Jackson Lai\nSupport Role', 'Chan Joel', 'Yuen Qiu\nSupport Role', 'Mandy Ho\nSupport Role', 'Deborah Poon\nUnknown', 'Lau Moon\nSupport Role'}",HongKong
Anita (2021),Three Stars,"Drama , Drama , Music , Romance , HK | Episodes 10","'Anita' is a legendary story of family, love and friendship that captures Anita Mui at her brightest. The film is a tribute to her legacy, inspired by the lasting impact she had on those around her in her journey to becoming one of the most iconic figures in Cantopop. ","{'', 'Manson Cheung\nSupport Role', 'Cheung Ka Fai\nUnknown Role', 'Carlos Chan\nSupport Role', 'Tony Wu\nGuest Role', 'Rosa Maria Velasco\nGuest Role', 'Nakajima Ayumu\nSupport Role', 'Longmond Leung\nUnknown Role', 'David Siu\nSupport Role', 'Michael Ning\nSupport Role', 'Lee Waise\nSupport Role', 'Anita Mui', 'Kyle Li\nGuest Role', 'Jack Ng\nUnknown Role', 'Chiang Ram\nGuest Role', 'Will Or\nGuest Role', 'Jason Chan\nSupport Role', 'Terrance Lau Chun Him\nSupport Role', 'Du Che Tu', 'Bill Kong\nUnknown Role', 'Wong Chun\nSupport Role'}",HongKong
Square Pegs (2002),One & Half Star,"Drama , Business , Comedy , Drama , Family , Romance , HK | Episodes 20","Choi Fung (Jessica Hsuan) was a determined and smart young girl. One day she meets Ah Wong (Roger Kwok), known as the ""simple-minded"" grown man due to a mental brain damage; he causes her a lot of trouble when he starts calling her his wife after she saves him once. Even so, whenever kids picked on him, she would help him out. Choi Fung's step-mother Lau Seung Seung (Rebecca Chan) only cares for her birth daughter Choi Dip (Leila Tong) and refuses to let Choi Dip marry Ah Wong when she realizes he is the one that the two families had an arranged birth marriage for. She and her daughter plot a scheme to make Choi Fung marry Ah Wong instead. Choi Fung thinks that she will be marrying Bao Gai Chung (Raymond Cho), but when wedding day arrived it was already too late. Her mother-in-law Mai Chu Lien (Angelina Lo) likes the daughter-in-law and refuses to let Choi Fung go. Problematic and a few blissful moments in their daily lives are continuous under the new roof, not to mention a dark secret about Ah Wong when someone from his past turns up and causes even more disruptions in their lives: Yeung Pui Kwan (Winnie Yeung). ","{'', 'Winnie Yeung\nMain Role', 'Hui Benz\nSupport Role', 'Lee Shing Cheong\nSupport Role', 'Ling Hon\nSupport Role', 'Chan Rebecca\nSupport Role', 'Cheng Ka Sang\nSupport Role', 'Cheng Hoffman\nSupport Role', 'Wong Wai Leung\nSupport Role', 'Wong Hugo\nSupport Role', 'Lo Angelina\nSupport Role', 'Daniel Kwok\nSupport Role', 'Jason Lam\nSupport Role', 'Andy Sui\nSupport Role', 'Lee Joseph\nSupport Role', 'Yuen Wah\nSupport Role', 'Lily Liu\nSupport Role', 'So Ceci\nSupport Role', 'Wong Chun\nSupport Role'}",HongKong
Freedom Memories (2022),Two & Half Stars,"Drama , Action , Comedy , Drama , Youth , HK | Episodes 15","This drama is based on the Hong Kong TV industry in the 1980s, featuring characters who were TV artists in that era and how they later worked their way to become Hong Kong TV's future superstars.","{'', 'So Ceci\nUnknown', 'Yuki Law\nUnknown', 'Kelvin Ma\nSupport Role', 'Enson Lau\nSupport Role', 'Antonio Ng\nSupport Role', 'Lo Henry\nUnknown', 'Danny Hung\nSupport Role', 'Kelly Ng\nSupport Role', 'Bonnie Lui\nUnknown', 'Sonya Chan\nUnknown', 'Wu Fei\nSupport Role', 'Jojo Wong\nSupport Role', 'Rosita Kwok\nSupport Role', 'Tam Gary\nUnknown', 'Ceci Mak\nSupport Role', 'Chan Gary\nUnknown', 'Wong Parkman\nUnknown', 'Leonard Cheng\nSupport Role'}",HongKong
In Geek We Trust (2022),Three Stars,"Drama , Drama , HK | Episodes 20","A Shin was a supervisor of the IT department of a bank but was fired by the company and his girlfriend left him. However, he is still optimistic to stick to his entrepreneurial dream. ",not available,HongKong
Modern Dynasty (2022),Three Stars,"Drama , Drama , HK | Episodes 30","Zhen Xin and Jia Luoyi married into the wealthy Ma family on the same day. The ""wedding of the century"" paves the way for a story about the ups and down of the three generations of the Ma family. ","{'Manna Chan\nSupport Role', '', 'Kwok Derek\nSupport Role', 'Law Him\nMain Role', 'Bond Chan\nSupport Role', 'Support Role', 'Yu Henry\nSupport Role', 'Karen Lee\nSupport Role', 'Yeung Tavia\nMain Role', 'Lee Rain\nMain Role', 'Lo Gallen\nGuest Role', 'Candice Yu\nSupport Role', 'Kevin Chu\nSupport Role', 'Tsui Wilson\nSupport Role', 'Cheung Julian\nMain Role', 'Wong Raymond\nMain Role', 'Lynn Hung\nMain Role', 'Cheng Chu Fung\nSupport Role'}",HongKong
Used Good (2021),Two & Half Stars,"Drama , Drama , Fantasy , Thriller , HK | Episodes 20",Used Good,"{'', 'Lee Shing Cheong\nMain Role', 'Eva Lai\nMain Role', 'Hera Chan\nMain Role', 'Li Aurora\nSupport Role', 'Fan Amy\nSupport Role', 'Maverick Mak\nMain Role', 'Support Role', 'Strawberry Yeung\nMain Role', 'Yu Henry\nSupport Role', 'Ng James\nMain Role', 'Ho Matthew\nMain Role', 'Chan Gary\nSupport Role', 'Chen Yoyo\nSupport Role', 'Cho Raymond\nMain Role', 'Carisa Yan\nSupport Role', 'Yvonne Lam\nMain Role'}",HongKong
Flying Tiger III (2021),Two & Half Stars,"Drama , Action , Crime , Drama , Thriller , HK | Episodes 30","Besides the return of familiar cast members Michael Miu, Bosco Wong, Ron Ng and Oscar Leung, as well as Joe Ma’s iconic character, Flying Tiger will also welcome a new microbiologist character played by Roger Kwok. ","{'', 'Miu Michael\nMain Role', 'Chan Moses\nGuest Role', 'Chan Jeannie\nSupport Role', 'Niklas Lam\nUnknown', 'Support Role', 'Chan Alice\nSupport Role', 'Yiu Elaine\nSupport Role', 'Lo Candy\nSupport Role', 'Ng Ron\nMain Role', 'Kwok Roger\nMain Role', 'Kayan Choi\nUnknown', 'Ma Joe\nMain Role', 'Wong Bosco\nMain Role', 'Unknown', 'Choi Sisley\nSupport Role', 'Hong Akina\nSupport Role', 'Philippe Joly\nUnknown', 'Cheung Eddie\nMain Role'}",HongKong
Hello Misfortune (2021),Three & Half Stars,"Drama , Comedy , Drama , Romance , HK | Episodes 10+",Hello Misfortune,"{'', 'Tse Susan\nSupport Role', 'Kwan C\nSupport Role', 'Mayanne Mak\nMain Role', 'Erica Chan\nMain Role', 'Chow Doris\nSupport Role', 'Wu Hubert\nMain Role', 'Ma Mark\nMain Role', 'Alvin Ng\nSupport Role', 'Support Role', 'Lincoln Hui\nSupport Role', 'Vivian Koo\nSupport Role', 'Law Helena\nSupport Role', 'Li Eddie\nSupport Role', 'Irina Tang\nSupport Role', 'Miumiu Au\nSupport Role', 'Cheng Timothy\nSupport Role'}",HongKong
The Ringmaster (2021),Two & Half Stars,"Drama , Drama , HK | Episodes 25","Life’s peaks and valleys is like fighting in the ring. Balancing between fame, wealth and love, and deciding between offense and defense happens within a moment. Faced with adversity, we fight hard to overcome obstacles and persevere. In the end, strength is not about being unbreakable, but about having the willpower to stand up after falling and to continue advancing. Life is always one person’s ring.","{'', 'Ball Mang\nUnknown', 'Lee Joan\nSupport Role', 'Ng Athena\nSupport Role', 'Law Helena\nSupport Role', 'Shaun Tam\nMain Role', 'Hui Jack\nSupport Role', 'Frankie Choi\nSupport Role', 'Suen Snow\nSupport Role', 'Amisha Ng\nSupport Role', 'Yiu Elaine\nMain Role', 'Wong Hugo\nSupport Role', 'Cheung Owen\nMain Role', 'Cheng Timothy\nSupport Role', 'Chak William\nSupport Role', 'Lo Henry\nSupport Role', 'Lee Joseph\nSupport Role', 'Chan Penny\nSupport Role', 'Yip Fanny\nSupport Role'}",HongKong
