Title,Rating,Genre,Description,Release year,Casts,Country
Amazing Saturday (2018),Three & Half Stars,"Drama , Comedy , Drama , Food , Music , Korean | Episodes 100+","The poster shows Shin Dong Yup, Girl’s Day’s Hyeri, Park Na Rae, Moon Se Yoon, SHINee’s Key, rapper Hanhae, and MMA fighter Kim Dong Hyun going for an “Indiana Jones” concept. The seven stars were previously announced to be the cast members, but the newly released poster shows Boom peeking out as well with his name included at the bottom. It appears he has also joined the cast.",Release: 2018,"{'Shin Dong Yup\nRegular Member', 'Key\nRegular Member', 'Park Na Rae\nRegular Member', 'Hyeri\nRegular Member'}",Korean
I Can See Your Voice Season 9 (2022),Three Stars,"Drama , Kshow , Music , Mystery , Korean | Episodes 10","I Can See Your Voice” is a mystery music game show. The guest artist(s) must attempt to guess between six contestants who are 'good singers' (skilled vocalists) and 'bad singers' (tone-deaf vocalists) without hearing them sing. If the winner is a 'good singer', they will win a chance to release the song alongside the guest artist(s) as a digital single. If the winner is a 'bad singer', they receive ₩5,000,000 ($4,500).",Release: 2022,"{'', 'Ha Sung Woon\nGuest', 'Guest', 'Lee Teuk\nMain Host', 'Yoo Se Yoon\nMain Host', 'Lee Hyun Yi\nGuest', 'Kim Seung Hyun\nGuest', 'Park Se Ri\nGuest', 'Hong Seok Cheon\nGuest', 'Lip J\nGuest', 'Kim Jong Min\nGuest', 'Main Host', 'Tiger JK\nGuest', 'Jung Han Hae\nGuest', 'Monika Shin\nGuest', 'Kim Sang Hyuk\nGuest', 'Choi Ye Na\nGuest', 'Park Tae Hwan\nGuest', 'Jang Soo Won\nGuest', 'Lee Chae Yeon\nGuest', 'Jang Dong Min\nGuest'}",Korean
Omniscient Interfering View (2017),Three Stars,"Drama , Game-Show , Kshow , Korean | Episodes 200","The managers, who know more about the stars they are working for, have unsealed their lips! In the program, the show’s hosts receive detailed descriptions of celebrities’ lifestyles and “interfere” with their lives. Learn about your favorite celebs’ habits and quirks while learning about how everyone’s different and stereotypes can be dangerous.",Release: 2017,not available,Korean
Mr. House Husband (2016),Three Stars,"Drama , Drama , Family , Food , Kshow , Korean | Episodes 200+","Dear valued customer, 1. Dramacool regularly updates new technology. If there any errors appear, please reload the page first. If errors reappear then report to us. 2. Main player supported Chromecast & Airplay. You can use it to streaming on your TV. 3. Our website strictly does not use pop up, direct site ads or any ads that would annoy your view. Please report us immediately when you see these ads. Thank you for your support and cooperation.",Release: 2016,"{'Kim Eli\nGuest', 'Lee Chul Min\nGuest', 'Son Tae Young\nGuest', 'Kim Jung Tae\nRegular Member', 'Kim Seung Woo\nMain Host', 'Bong Tae Gyu\nRegular Member', 'Kim Bup Rae\nGuest', 'Moon Se Yun\nRegular Member', 'Muzie\nGuest'}",Korean
The Game Caterers Season 2 (2022),Four Stars,"Drama , Business , Kshow , Korean | Episodes 12",A business trip program with PD Na Young Seok. He will visit official events and entertainment programs that require various games. ,Release: 2022,"{'', 'Im Ji Yeon\nGuest', 'Lee Seo Jin\nGuest', 'Jung Hyung Suk\nGuest', 'Lee Jung Jae\nGuest', 'Jung Woo Sung\nGuest', 'Oh Se Hun\nGuest', 'Kim Jong Soo\nGuest', 'Chae Soo Bin\nGuest', 'Seo Bum Jun\nGuest', 'Kim Sun Young\nGuest', 'Pyo Ji Hoon\nGuest', 'Park Ji Hwan\nGuest', 'Kim Kwang Gyu\nGuest', 'Kim Sung Oh\nGuest', 'Lee Joon\nGuest', 'Gong Yoo\nGuest', 'Ra Mi Ran\nGuest', 'Yum Jung Ah\nGuest'}",Korean
MMTG (2018),Not Rated,"Drama , Comedy , Drama , Music , Korean | Episodes 250","Interviewer and producer Lee Eun-Jae of variety show “MMTG,” a program that kicked off on SBS’ YouTube platform in February 2018. The program, which features interviews with stars in different fields, has a separate YouTube channel .",Release: 2018,"{'', 'Yoon Jong Hoon\nGuest', 'AIKI\nGuest', 'Kim So Yeon\nGuest', 'Yoo Ah', 'Kevin Woo\nGuest', 'Yoon Chae Kyung\nGuest', 'Hoshi\nGuest', 'Baek Ji Heon\nGuest', 'Kim Se Jung\nGuest', 'Wheein\nGuest', 'Binnie', 'Choi Woo Shik\nGuest', 'Choi Hyo Jung\nGuest', 'I.M\nGuest', 'Hwasa\nGuest', 'Ri.hey\nGuest', 'Eugene\nGuest', 'Arin', 'C.A.P\nGuest', 'Shin Soo Hyun\nGuest', 'Ricky\nGuest'}",Korean
How Do You Play? (2019),Three Stars,"Drama , Kshow , Korean | Episodes 100+","One of the best MCs in the country, Yu Jae Seok, often asks about how others play on their day-offs. It has gotten to the point that he says this out of habit. His saying sparks an idea in Kim Tae Ho's head. He gets the thought of filming celebrities on their day-offs on a relay camera. So Tae Ho hands a small and portable camera to Jae Seok out of the blue. At first, Jae Seok is taken aback but goes along with the idea. Starting with Jae Seok, celebrities get handed a camera to film their everyday lifestyle. Some may work out to get in shape, some may simply rest up from their tiring schedule, and others may meet up with friends they didn't have the time to. From well-known comedians to global superstars, the relay camera captures unexpected and uniques stories. Take a peek at what the celebrities are up to on their day-offs and discover something new about them. (Source: Rakuten Viki) Add Synopsis In Portuguese",Release: 2019,not available,Korean
Fun Restaurant (2019),Three Stars,"Drama , Kshow , Korean | Episodes 100+","FUN RESTAURANT is a new variety show where celebrities are competing to make a new F&B product for the convenience store franchise. The program looks at the celebs' daily lives that are filled with constant development on some exciting and delicious menus. Celebs compete every week, and the winner's cuisine turns to the product that will sell the stores the next day. The profits will be donated to support children. The casts are led by Lee Kyung-kyu, who has had his own development into an actual product, and Lee Young-ja, the Muk-bang genius, and food aficionado.",Release: 2019,not available,Korean
I Live Alone (2013),Three Stars,"Drama , Game-Show , Kshow , Korean | Episode 500+","With the number of single-person households ever increasing, 1/3 of Korean celebrities are living alone, too. There are fathers living alone with their family studying abroad, married couples who see each other only in the weekends, young men from the rural parts of Korea who are still adjusting to city life in Seoul, and men who just prefers to live by themselves. “I Live Alone” is a documentary-type reality TV show that looks at each of their single life. Whether you live alone or not, you’ll definitely find something you can relate to in these celebrities.",Release: 2013,not available,Korean
Ask Us Anything (2016),Three & Half Stars,"Drama , Game-Show , Kshow , Korean | Episodes 300+","The brother (아는 님 认) is a Korean reality show variety show, invited artists to answer the question of life size, very important but people will be curious about the theme. TV Superman to share your ""know brother"" online live / complete set of replay, JTBC TV Korea Internet TV channel live, Ask Us Anything Live lazy package.",Release: 2016,not available,Korean
A Gentleman and a Young Lady (2021),Four & Half Stars,"Drama , Comedy , Drama , Family , Romance , Korean | Episodes 50","Lee Young Kook is a widower with three children. He still hasn’t gotten over the death of his wife. He decides to hire Park Dan Dan as a live-in tutor for his kids and he becomes attracted to her. Meanwhile, Park Dan Dan has bright and positive personality despite her harsh situation.",Release: 2021,"{'', 'Support Role', 'Shin Chang Seok\nUnknown Role', 'Im Ye Jin\nSupport Role', 'Lee Il Hwa\nSupport Role', 'Kim Sa Kyung\nUnknown Role', 'Park Ha Na\nSupport Role', 'Cha Hwa Yun\nMain Role', 'Ahn Woo Yeon\nSupport Role', 'Oh Hyun Kyung\nSupport Role', 'Wang Bit Na\nSupport Role', 'Kim Young Ok\nSupport Role', 'Kang Eun Tak\nSupport Role', 'Lee Hwi Hyang\nSupport Role', 'Lee Se Hee\nMain Role', 'Lee Jong Won\nSupport Role', 'Ji Hyun Woo\nMain Role', 'Yoon Jin Yi\nSupport Role', 'Choi Myung Bin\nSupport Role'}",Korean
King of Mask Singer (2017),Three Stars,"Drama , Game-Show , Kshow , Music , Korean | Episode 300+","When you have to compete with only your voice, who will be the last singer standing? “King of Mask Singer” is a South Korean variety show where the participants compete against each other wearing masks to hide their true identities. The contestants may be famous singers or stars who have always aspired to sing – but they all have one thing in common. They must all compete with their vocals alone because no one will know their true identities until the very end! Enjoy these highlight clips from the popular variety show, featuring MCs Kim Sung Joo and Kim Goo Ra.",Release: 2017,not available,Korean
Running Man (2019),Four Stars,"Drama , Game-Show , Kshow , Korean | Episodes 500+","Running Man Kshowonline EngSub See your favorite stars battle it out and and show their true colors as they fight their way to the finish line. Every week, Running Man tests the strength, endurance, and cunning of Korea’s top entertainers through various missions and races.",Release: 2019,"{'', 'Kim Ji Won\n(Ep. 297)\nGuest', 'Lee Dong Wook\n(Ep. 133-134, 135-136, 181-182, 263)\nGuest', 'Lee Kyung Kyu\n(Ep. 305, 317)\nGuest', 'Park Seo Joon\n(Ep. 184, 198, 246, 263, 295, 362)\nGuest', 'Wang Ji Hye\n(Ep. 219)\nGuest', 'Seo Jang Hoon\n(Ep. 144, 309)\nGuest', 'Jun Jung Kook\n(Ep. 300)\nGuest', 'Son Yeon Jae\n(Ep.109, 110, 322)\nGuest', 'Hoshi\n(Ep.272)\nGuest'}",Korean
We Became a Family (2021),Not Rated,"Drama , Comedy , Family , Friendship , Kshow , Korean | Episodes 8",A reality program that features the stars becoming virtual family members. ,Release: 2021,"{'', 'Kim Kang Hoon\nRegular Member', 'Lee Dae Hwi\nRegular Member', 'Yang Yang\nRegular Member', 'Xiao Jun\nRegular Member', 'Jo Kwon\nGuest', 'Na Ha Eun\nGuest', 'Kim Yoo Bin\nRegular Member', 'Lee Chae Yeon\nGuest', 'Hendery\nRegular Member', 'Im Na Young\nRegular Member', 'Ye Sung\nRegular Member', 'Kang Hye Won\nRegular Member', 'Seo Eun Kwang\nRegular Member', 'Son Ho Young\nRegular Member', 'Yoon San Ha\nGuest', 'Lee Hyun Jae\nRegular Member'}",Korean
Forecasting Love and Weather (2022),Three & Half Stars,"Drama , Drama , Melodrama , Romance , Korean | Episodes 16","A romance drama about the work and love in the office of National Weather Service, hotter than tropical nights and more unpredictable than localized heavy rains. Jin Ha Kyung is an intelligent and highly organized individual who does everything by the book and is fastidious about keeping her personal and professional lives separate. Due to her cold demeanor, she has few friends at work and has become an “outsider by choice.” Lee Shi Woo is a free spirit who is always thinking outside the box. Although he can appear clumsy, he boasts an impressive IQ of 150 and is able to achieve anything once he sets his mind to it. However, in spite of his intelligence and abilities, all he cares about is the weather. Han Ki Joon is a handsome and quick-witted character with a silver tongue. Using his formidable powers of persuasion, Han Ki Joon eventually gets scouted by the spokesperson's office after struggling in the early days of his career at the service. However, because he has lived his entire life as a model student, he has a hard time dealing with failure. Chae Yoo Jin is a daily weather reporter. Although she went into her job with lofty dreams of breaking news, exciting scoops, and on-site reports, Chae Yoo Jin was ultimately assigned to the “weather and lifestyle team.” While she was initially disappointed by the assignment, she eventually comes to grow fond of her job. ",Release: 2022,"{'', 'Yoo Ji In\nUnknown', 'Yura\nMain Role', 'Cha Young Hoon\nUnknown Role', 'Jung Woon Sun\nSupport Role', 'Support Role', 'Yoon Park\nMain Role', 'Kim Mi Kyung\nSupport Role', 'Park Min Young\nMain Role', 'Yoon Sa Bong\nSupport Role', 'Kang Eun Kyung\nUnknown Role', 'Lee Sung Wook\nSupport Role', 'Kwon Hae Hyo\nSupport Role', 'Song Kang\nMain Role', 'Chae Seo Eun\nSupport Role', 'Sun Young\nUnknown Role', 'Moon Tae Yu\nSupport Role', 'Bae Myung Jin\nUnknown'}",Korean
Through the Darkness (2022),Four & Half Stars,"Drama , Crime , Drama , Mystery , Thriller , Korean | Episodes 12",A story of criminal profilers who struggle to read the minds of serial murderers. Song Ha Young is a criminal profiler. He is calm and has charisma. He digs up cases and looks deeply into the human mind.,Release: 2022,"{'Jin Sun Gyu\nMain Role', 'Jung Soon Won\nSupport Role', 'Kim Won Hae\nSupport Role', 'Ryeoun\nSupport Role', 'Kim Min Kyu\nSupport Role', 'Kim So Jin\nMain Role', 'Gong Sung Ha\nSupport Role', 'Kim Nam Gil\nMain Role', 'Lee Dae Yeon\nSupport Role'}",Korean
Twenty-Five Twenty-One (2022),Four Stars,"Drama , Drama , Friendship , Romance , Youth , Korean | Episodes 16","The story is set in 1998 and tells the stories of youth who find new direction and growth after having their dreams taken away. Two people first meet when they are 22 and 18 years old and fall in love years later when they turn 25 and 21. Na Hee Do is a member of her high school fencing team. Due to the South Korean financial crisis, the high school fencing team gets disbanded. Getting through all the difficulties, she becomes a member of the sabre fencing national team. The South Korean financial crisis also causes Baek Yi Jin’s father's business to go bankrupt. This leads to a life change for Baek Yi Jin, from living the life of a wealthy person to a poor person. While studying, he works part-time jobs like delivery newspapers. Later, he becomes a sports reporter for a broadcasting network. ",Release: 2022,"{'', 'Bona\nSupport Role', 'Support Role', 'Nam Joo Hyuk\nMain Role', 'Park Jung Pyo\nSupport Role', 'Choi Min Young\nSupport Role', 'Kim Hye Eun\nSupport Role', 'Kim Young Sun\nSupport Role', 'Choi Hyun Wook\nSupport Role', 'Seo Jae Hee\nSupport Role', 'Lee Joo Myung\nSupport Role', 'Kim Tae Ri\nMain Role', 'Jung Ji Hyun\nUnknown Role', 'Kwon Do Eun\nUnknown Role', 'Choi Myung Bin\nSupport Role', 'So Hee Jung\nSupport Role'}",Korean
Dr. Park’s Clinic (2022),Four & Half Stars,"Drama , Comedy , Drama , Medical , Korean | Episodes 12","Dr. Park Won Jang recently opened his own internal medicine clinic. His goal is to become acknowledged as a skilled physician and make a lot of money in the process. He thought that if he opened his own clinic, the money would soon roll in. Reality is a little different for Park Won Jang. His clinic receives very few patients and it is teetering on insolvency. He struggles to save his clinic. Making things worse, he also suffers from hair loss. Meanwhile, Park Won Jang is married to Sa Mo Rim. His wife trusts the advice of medical TV programs more than her husband. ",Release: 2022,not available,Korean
