Title,Rating,Genre,Description,Casts,Country
Love Forever After (2022),Three Stars,"Drama , Comedy , Drama , Fantasy , Romance , Supernatural , Thailand | Episodes 24",A love story between the cold God of Death and a beautiful ghost who refuses to die.,"{'', 'Phongsupan Narumon\nSupport Role', 'Linpita Jindapoo\nSupport Role', ""O'Neill Thitinan Khlangphet\nSupport Role"", 'Sakchai Kiatpanya-opas\nUnknown Role', 'Plan Koosuwan\nSupport Role', 'Support Role', 'Anant Boonnark\nSupport Role', 'Bum Piyakorn Chayaninpromate\nUnknown Role', 'Tanjararak Kavee\nSupport Role', 'Korn Kornnarat Ongsaranont\nSupport Role', 'Dew Yanawee Smakkamai\nSupport Role', 'Ruengsri Kamolned\nMain Role', 'Ying Anada Prakobkit\nSupport Role', 'Phukhao Worapot Fanthamkang\nSupport Role', 'Unda Kulteera Yordchang\nSupport Role', 'Junior Kajbhunditt Jaidee\nSupport Role', 'Namkhing Avika Pramesiripaisan\nSupport Role', 'Palm Supachai Suwanon\nSupport Role', 'Paisarnkulwong Vachiravit\nMain Role'}",Thailand
Remember 15 (2022),Four & Half Stars,"Drama , Drama , Horror , Thailand | Episodes 12","“I miss everyone…. Shall we meet again on that island?” A mystery message from ""Lyla"", a school star who committed suicide five years ago, was sent to her former high school classmate, seniors, and her sister. Everyone was wondering how this message was able to be sent, since Lyla had died a long time ago…. The 12 of them returned to the deserted island, the place where Lyla died five years ago… to pay tribute to Lyla and find out the truth about who sent the message to be a joke…. But the closer it gets to the truth the more they discover their cruel past. The dark secrets of the people they call “friends” have made this desert island become a bloody arena…. ","{'', 'Kaimuk Nilawan Iamchuasawad\nMain Role', 'Pinomyim Thanchanok Pakarat\nMain Role', 'Title Tanatorn Saenangkanikorn\nMain Role', 'Jimmy Karn Kritsanaphan\nMain Role', 'Main Role', 'Ray Venita Loywattanakul\nMain Role', 'Adamy Chalermchatri Yukol\nUnknown Role', 'Tommy Sittichok Pueakpoolpol\nMain Role', 'Pai Ekkapop Paiaree\nUnknown Role', 'Sairung Prapakon Chairak\nMain Role', 'Ace Chitsanupong Sakunnanthiphat\nMain Role', 'Noon Khingkarn Boonma\nMain Role', 'Pure Purewarin Kosiriwalanon\nMain Role', 'Nut Theerarat Wongchuen\nMain Role', 'Boss Daranpope Charmpoonod\nMain Role', 'Zee Pruk Panich\nMain Role'}",Thailand
Something in My Room (2022),Four Stars,"Drama , Comedy , Drama , Mystery , Romance , Supernatural , Thailand | Episodes 10","Pat just moved into a new rental house with his mother. There, he meets Pope, an amnesiac ghost, and has to help Pope solve the mystery of his death within forty-nine days of Pope's death. Will they succeed?","{'', 'Ekarin Mungmee\nUnknown Role', 'Wongtrakul Thanayong\nSupport Role', 'Phiao Duangjai Hiransri\nSupport Role', 'Plan Koosuwan\nMain Role', 'Act Tanachai Kulcharoentanachot\nSupport Role', 'Big Thanakorn Kuljarassombat\nSupport Role', 'Nut Supanut Lourhaphanich\nMain Role', 'Chudapa Chantakett\nUnknown Role', 'Boss Anuson Limprasert\nUnknown Role', 'Tee Sintanaparadee\nUnknown Role', 'Raflael\nUnknown Role', 'Sukol Sasijulaka\nSupport Role', 'Somchai Tidsanawoot\nUnknown Role', 'Faii Sumitra Duangkaew\nSupport Role', 'King Somching Srisupap\nUnknown Role', 'Phongsathorn Padungktiwong\nSupport Role', 'Main Role', 'Chanokwanun Rakcheep\nSupport Role'}",Thailand
Cupid's Last Wish (2022),Three & Half Stars,"Drama , Adventure , Drama , Friendship , Romance , Thailand | Episodes 10","Korn and Win are best friends. Their friendship faced a problem after the death of Win and Lin's father because he gave Korn half of their land in his will. One day, Win got into a car accident with his sister, Lin. He then woke up and found himself in Lin's body, while his body was still in a coma. The only way to fix it was to go collect holy water from the seven temples across Thailand with Korn. Although Win is technically trapped in Lin's body, Korn knows that the other person isn't Lin, but Win. Can they fix the broken friendship and let another spark of feelings interfere through the pathways of their adventure? ","{'Wanlopsirinun Thanaboon\nSupport Role', 'Phumphothingam Nawat\nSupport Role', 'Watthanasetsiri Pirapat\nMain Role', 'Pong Pattarawalai Wongsinwises\nUnknown Role', 'Champ Nattharat Kornkaew\nSupport Role', 'Ployshompoo Supsap\nMain Role', 'Mix Sahaphap Wongratch\nMain Role', 'Golf Sakon Wong\nUnknown Role'}",Thailand
Samee Chua Keun (2022),Three Stars,"Drama , Drama , Romance , Thailand | Episodes 15+","The moment she opened her eyes, she noticed her body without clothes on and there was a man sleeping on his stomach next to her. The whole world seemed to collapse in front of her. Chon Phansa, a beautiful woman who was drunk until she lost her mind for just one night had to become a single mother inevitably. She decided to raise her child alone never thought to demand anything from that ""Overnight Husband"" of her. However, this is called fate when the man who is ""the father of her child"" has come to involve her life once again. ","{'', 'Pinkploy Paparwadee Chansamorn\nMain Role', 'Phongsakon Tosuwan\nSupport Role', 'Praew Chermawee Suwanpanuchoke\nSupport Role', 'Tle Tawan Jarujinda\nUnknown Role', 'Support Role', 'Namo Wutthiphat Khamsopha\nGuest Role', 'Fern Gatesara Watthanasang\nSupport Role', 'Kohkiat Sirin\nSupport Role', 'Eiam Watsaporn Wattanakoon\nSupport Role', 'Premanan Fifa\nSupport Role', 'Samipak Sawitree\nSupport Role', 'Papassara Techapaibun\nSupport Role', 'Wanchai Paowiboon\nSupport Role', 'Sopee Pannarai\nUnknown Role', 'Kochakorn Songsangterm\nSupport Role', 'Untimanon Jayjintai\nSupport Role', 'Euro Yotsawat Tawapee\nMain Role', 'Suphakan Thanongsak\nSupport Role'}",Thailand
Gen Y 2 (2021),Three & Half Stars,"Drama , Drama , Romance , School , Youth , Thailand | Episodes 10+","The feeling of disappointment that arose with all characters in Gen Y The Series SS1 will be solved, especially the suddenly ended of Pha and Wayu. Wayu decided to start to be a couple with Thanu, but it may not be easy because of the unclear relationship between Thanu and Phai. At the same time, Mark and Kit got a problem with distancing and timing. Before they decide to call it off, they focus on temporary separation as an option. that may make them know how the importance of each other. Pok has tried so hard to be better for Tong but he feels like he is just not up to Tong's expectation. Also, Tong has tried to give all the best to Pok but he had misunderstood that Pok never wants it. While Wayu started to open up to a new relationship, a problem of Mark and Kit, a conflict of Pok and Tong. ","{'', 'Pon Thanapon Aiemkumchai\nSupport Role', 'Bank Thanatip\nSupport Role', 'Fluqe Pairvaad\nSupport Role', 'Big Thanakorn Kuljarassombat\nSupport Role', 'Kerdthongtavee Panuwat\nMain Role', 'Dun Romchumpa\nSupport Role', 'Bonus Tanadech Deeseesuk\nSupport Role', 'Phee Pikulngern\nSupport Role', 'Khemmonta Varodom\nMain Role', 'Support Role', 'Tung Weeraphong\nSupport Role', 'Pinnirat Suradej\nSupport Role', 'Bank Toranin Manosudprasit\nSupport Role', 'Kad Ploysupa\nSupport Role', 'Jame Kasama Khanjanawattana\nSupport Role', 'Junior Ronnakorn Soontornnon\nSupport Role', 'Jet Jetsadakorn Bundit\nSupport Role', 'Theewara Bank\nSupport Role', 'Fergal Wanchai Power\nSupport Role'}",Thailand
The War of Flowers (2022),Two Stars,"Drama , Drama , Thailand | Episodes 18","It is a story of a mistress who comes back for her revenge after enduring all kinds of mistreats from her husband’s wedded wife. The resentment between two love rivals is passed on to their descents and grows into a war between two bloodlines. Onnapa is a mistress of a millionaire who owns the biggest flower business in the country. She has endured all kinds of mistreats by her husband’s lawful life, Kannika, for years. When their husband dies, Kannika kicked Onnapa out of their home. Onnapa is enraged by the injustice and furious at Kannika. Although more than 30 years have passed, the resentment in Onnapa’s heart has never eased off. Now, it is passed on to her daughter and grandchildren. Along with her daughter – Onsalao and her grandsons – Worakorn and Worawet, Onnapa comes back to take her revenge and reclaim things that should have been hers. Onnapa starts a war with Kannika and her descents including Kannika’s daughter – Thantawan, and her grandchildren – Mintra, Nonsee, and Iris. Filled with trickery, deceit, and betrayal, how will this war end? ","{'', 'Paweena Charivsakul\nUnknown', 'McIntosh Ruengrit\nMain Role', 'Support Role', 'Jarujinda Duangdao\nSupport Role', 'Poonsawas Atthaphan\nMain Role', 'Sangpotirat Perawat\nMain Role', 'Golf Tanwarin Sukkhapisit\nUnknown Role', 'Aye Sarunchana Apisamaimongkol\nMain Role', 'Malys Choeysobhon\nUnknown', 'Prasertwattanakul Apinun\nSupport Role', 'June Wanwimol Jensawamethee\nMain Role', 'Tu Jarusiri Phuwanai\nUnknown', 'Metinee Kingpayome\nMain Role', 'Earn Preeyaphat Lawsuwansiri\nUnknown', 'Unknown', 'X Nuttapong Mongkolsawas\nUnknown Role', 'Salitun Dueantem\nSupport Role', 'Couling Sonia\nMain Role', 'Mike Chinnarat Siriphongchawalit\nSupport Role', 'Main Role', 'Jan-Ngern Pattadon\nMain Role'}",Thailand
My Ride (2022),Four Stars,"Drama , Comedy , Drama , Romance , Thailand | Episodes 8","This is the story of Mork and Tawan, a motorcycle taxi driver and a medical resident in Bangkok hospital. While they might seem to come from different worlds, one day they meet by chance when Tawan hires Mork to take him across town. This first ride leads to another and another, and soon Mork finds that he can't stop thinking about the handsome doctor. Meanwhile, Tawan also feels drawn to Mork, and an unlikely friendship is born. Might it lead to more? ","{'', 'Weerapat Mike\nSupport Role', 'Tanachot Prapasri\nUnknown Role', 'Best Cholsawas Tiewwanichkul\nSupport Role', 'Yoon Phusanu Wongsavanischakorn\nSupport Role', 'Fluke Pongsakorn Wongpian\nMain Role', 'Maneewan Sornsin\nSupport Role', 'Sarindu Patson\nSupport Role', 'Ging Areeya Pholphutrakul\nSupport Role', 'Support Role', 'Lohanan Teerapat\nUnknown Role', 'Surasak Chaiat\nSupport Role', 'Mild Suttinut Uengtrakul\nSupport Role', 'Nam Kritidet Sinjoemsiri\nUnknown Role', 'Peerawich Ploynumpol\nSupport Role', 'Fame Chawinroj Likitchareonsakul\nMain Role', 'Pat Chatborirak\nSupport Role', 'Jay Jatuporn Dangurai\nSupport Role'}",Thailand
Restart(ed) (2022) - MyDramaList,Three & Half Stars,"Drama , Comedy , Drama , Romance , Thailand | Episodes 11","A big change will once again bring them back to the start. This is a rom-com series that will make you smile, cry and happy. ",not available,Thailand
You're My Sky (2021),Four Stars,"Drama , Drama , Romance , School , Sports , Thailand | Episodes 10","The story focuses on a first-year student Thorn who has been secretly in love with the College Jock Tupfah. As they both train together, Thorn slowly falls for the handsome Tupfah and despite his close friend’s warnings, one day confesses his love. Tupfah who is highly competitive and doesn’t trust anyone easily, wants to focus on his game instead. Will Thorn be able to bridge the distance and melt Tupfah’s heart?","{'Porsche Tanathorn Charoenratanaporn\nSupport Role', 'First Thammarat Janngam\nSupport Role', 'Kris Sakris Strickland\nSupport Role', 'Jump Kananat Yansukon\nSupport Role', 'Boom Thanut Jiraratchakit\nSupport Role', 'Suar Kritsanaphong Sripattiyanon\nMain Role', 'Perce Patarakorn Thaveesittikullarp\nSupport Role', 'Tae Chayapat Kongsub\nMain Role'}",Thailand
