Title,Rating,Description,Country,Episodes,Year,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Cast1,Cast2,Cast3,Cast4,Cast5,Cast6
Amazing Saturday ,3.5,the poster shows shin dong yup girls days hyeri park na rae moon se yoon shinees key rapper hanhae and mma fighter kim dong hyun going for an indiana jones concept the seven stars were previously announced to be the cast members but the newly released poster shows boom peeking out as well with his name included at the bottom it appears he has also joined the cast,korean,100,2018,drama , comedy , drama , food , music , korean ,shin dong yup, key, park na rae, hyeri,shin dong yup,shin dong yup
I Can See Your Voice Season 9 ,3.0,i can see your voice is a mystery music game show the guest artists must attempt to guess between six contestants who are good singers skilled vocalists and bad singers tonedeaf vocalists without hearing them sing if the winner is a good singer they will win a chance to release the song alongside the guest artists as a digital single if the winner is a bad singer they receive 5000000 $4500,korean,10,2022,drama , kshow , music , mystery , korean ,drama , ha sung woon, , lee teuk, yoo se yoon, lee hyun yi, kim seung hyun
Omniscient Interfering View ,3.0,the managers who know more about the stars they are working for have unsealed their lips in the program the shows hosts receive detailed descriptions of celebrities lifestyles and interfere with their lives learn about your favorite celebs habits and quirks while learning about how everyones different and stereotypes can be dangerous,korean,200,2017,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
Mr. House Husband ,3.0,dear valued customer 1 dramacool regularly updates new technology if there any errors appear please reload the page first if errors reappear then report to us 2 main player supported chromecast  airplay you can use it to streaming on your tv 3 our website strictly does not use pop up direct site ads or any ads that would annoy your view please report us immediately when you see these ads thank you for your support and cooperation,korean,200,2016,drama , drama , family , food , kshow , korean ,kim eli, lee chul min, son tae young, kim jung tae, kim seung woo, bong tae gyu
The Game Caterers Season 2 ,4.0,a business trip program with pd na young seok he will visit official events and entertainment programs that require various games ,korean,12,2022,drama , business , kshow , korean ,drama ,drama , im ji yeon, lee seo jin, jung hyung suk, lee jung jae, jung woo sung, oh se hun
MMTG ,0.0,interviewer and producer lee eunjae of variety show mmtg a program that kicked off on sbs youtube platform in february 2018 the program which features interviews with stars in different fields has a separate youtube channel ,korean,250,2018,drama , comedy , drama , music , korean ,drama , yoon jong hoon, aiki, kim so yeon, yoo ah, kevin woo, yoon chae kyung
How Do You Play? ,3.0,one of the best mcs in the country yu jae seok often asks about how others play on their dayoffs it has gotten to the point that he says this out of habit his saying sparks an idea in kim tae hos head he gets the thought of filming celebrities on their dayoffs on a relay camera so tae ho hands a small and portable camera to jae seok out of the blue at first jae seok is taken aback but goes along with the idea starting with jae seok celebrities get handed a camera to film their everyday lifestyle some may work out to get in shape some may simply rest up from their tiring schedule and others may meet up with friends they didnt have the time to from wellknown comedians to global superstars the relay camera captures unexpected and uniques stories take a peek at what the celebrities are up to on their dayoffs and discover something new about them source rakuten viki add synopsis in portuguese,korean,100,2019,drama , kshow , korean ,drama ,drama ,drama ,,,,,,
Fun Restaurant ,3.0,fun restaurant is a new variety show where celebrities are competing to make a new fb product for the convenience store franchise the program looks at the celebs daily lives that are filled with constant development on some exciting and delicious menus celebs compete every week and the winners cuisine turns to the product that will sell the stores the next day the profits will be donated to support children the casts are led by lee kyungkyu who has had his own development into an actual product and lee youngja the mukbang genius and food aficionado,korean,100,2019,drama , kshow , korean ,drama ,drama ,drama ,,,,,,
I Live Alone ,3.0,with the number of singleperson households ever increasing 13 of korean celebrities are living alone too there are fathers living alone with their family studying abroad married couples who see each other only in the weekends young men from the rural parts of korea who are still adjusting to city life in seoul and men who just prefers to live by themselves i live alone is a documentarytype reality tv show that looks at each of their single life whether you live alone or not youll definitely find something you can relate to in these celebrities,korean,500,2013,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
Ask Us Anything ,3.5,the brother 아는 님 认 is a korean reality show variety show invited artists to answer the question of life size very important but people will be curious about the theme tv superman to share your know brother online live  complete set of replay jtbc tv korea internet tv channel live ask us anything live lazy package,korean,300,2016,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
A Gentleman and a Young Lady ,4.5,lee young kook is a widower with three children he still hasnt gotten over the death of his wife he decides to hire park dan dan as a livein tutor for his kids and he becomes attracted to her meanwhile park dan dan has bright and positive personality despite her harsh situation,korean,50,2021,drama , comedy , drama , family , romance , korean , support role, shin chang seokunknown role, im ye jinsupport role, lee il hwasupport role, kim sa kyungunknown role, park ha nasupport role
King of Mask Singer ,3.0,when you have to compete with only your voice who will be the last singer standing king of mask singer is a south korean variety show where the participants compete against each other wearing masks to hide their true identities the contestants may be famous singers or stars who have always aspired to sing  but they all have one thing in common they must all compete with their vocals alone because no one will know their true identities until the very end enjoy these highlight clips from the popular variety show featuring mcs kim sung joo and kim goo ra,korean,300,2017,drama , game-show , kshow , music , korean ,drama ,,,,,,
Running Man ,4.0,running man kshowonline engsub see your favorite stars battle it out and and show their true colors as they fight their way to the finish line every week running man tests the strength endurance and cunning of koreas top entertainers through various missions and races,korean,500,2019,drama , game-show , kshow , korean ,drama ,drama , kim ji won, lee dong wook, lee kyung kyu, park seo joon, wang ji hye, seo jang hoon
We Became a Family ,0.0,a reality program that features the stars becoming virtual family members ,korean,8,2021,drama , comedy , family , friendship , kshow , korean , kim kang hoon, lee dae hwi, yang yang, xiao jun, jo kwon, na ha eun
Forecasting Love and Weather ,3.5,a romance drama about the work and love in the office of national weather service hotter than tropical nights and more unpredictable than localized heavy rains jin ha kyung is an intelligent and highly organized individual who does everything by the book and is fastidious about keeping her personal and professional lives separate due to her cold demeanor she has few friends at work and has become an outsider by choice lee shi woo is a free spirit who is always thinking outside the box although he can appear clumsy he boasts an impressive iq of 150 and is able to achieve anything once he sets his mind to it however in spite of his intelligence and abilities all he cares about is the weather han ki joon is a handsome and quickwitted character with a silver tongue using his formidable powers of persuasion han ki joon eventually gets scouted by the spokespersons office after struggling in the early days of his career at the service however because he has lived his entire life as a model student he has a hard time dealing with failure chae yoo jin is a daily weather reporter although she went into her job with lofty dreams of breaking news exciting scoops and onsite reports chae yoo jin was ultimately assigned to the weather and lifestyle team while she was initially disappointed by the assignment she eventually comes to grow fond of her job ,korean,16,2022,drama , drama , melodrama , romance , korean ,drama , yoo ji inunknown, yuramain role, cha young hoonunknown role, jung woon sunsupport role, support role, yoon parkmain role
